DATE,VALUE
2010-02-01,2.16
2010-03-01,2.15
2010-04-01,2.05
2010-05-01,1.83
2010-06-01,1.77
2010-07-01,1.87
2010-08-01,1.76
2010-09-01,1.66
2010-10-01,1.44
2010-11-01,1.61
2010-12-01,1.89
2011-01-01,1.97
2011-02-01,2.13
2011-03-01,1.89
2011-04-01,1.79
2011-05-01,1.77
2011-06-01,1.78
2011-07-01,1.62
2011-08-01,1.10
2011-09-01,1.02
2011-10-01,0.99
2011-11-01,0.78
2011-12-01,0.78
2012-01-01,0.74
2012-02-01,0.72
2012-03-01,0.87
2012-04-01,0.79
2012-05-01,0.68
2012-06-01,0.50
2012-07-01,0.39
2012-08-01,0.47
2012-09-01,0.44
2012-10-01,0.41
2012-11-01,0.35
2012-12-01,0.33
2013-01-01,0.48
2013-02-01,0.57
2013-03-01,0.62
2013-04-01,0.48
2013-05-01,0.72
2013-06-01,1.21
2013-07-01,1.34
2013-08-01,1.44
2013-09-01,1.50
2013-10-01,1.37
2013-11-01,1.51
2013-12-01,1.61
2014-01-01,1.44
2014-02-01,1.40
2014-03-01,1.33
2014-04-01,1.23
2014-05-01,1.08
2014-06-01,1.11
2014-07-01,0.98
2014-08-01,0.90
2014-09-01,1.05
2014-10-01,0.96
2014-11-01,0.99
2014-12-01,0.89
2015-01-01,0.66
2015-02-01,0.73
2015-03-01,0.73
2015-04-01,0.65
2015-05-01,0.96
2015-06-01,1.13
2015-07-01,1.11
2015-08-01,1.08
2015-09-01,1.24
2015-10-01,1.22
2015-11-01,1.25
2015-12-01,1.26
2016-01-01,1.26
2016-02-01,1.09
2016-03-01,0.99
2016-04-01,0.86
2016-05-01,0.86
2016-06-01,0.82
2016-07-01,0.61
2016-08-01,0.62
2016-09-01,0.64
2016-10-01,0.69
2016-11-01,0.86
2016-12-01,1.04
2017-01-01,0.92
2017-02-01,0.93
2017-03-01,0.99
2017-04-01,0.91
2017-05-01,0.99
2017-06-01,0.93
2017-07-01,1.01
2017-08-01,0.93
2017-09-01,0.87
2017-10-01,0.94
2017-11-01,0.87
2017-12-01,0.80
2018-01-01,0.80
2018-02-01,0.99
2018-03-01,0.99
2018-04-01,0.93
2018-05-01,0.98
2018-06-01,0.93
2018-07-01,0.88
2018-08-01,0.92
2018-09-01,1.00
2018-10-01,1.21
2018-11-01,1.30
2018-12-01,1.19
