DATE,VALUE
2010-02-26,2.16
2010-03-05,2.14
2010-03-12,2.17
2010-03-19,2.10
2010-03-26,2.17
2010-04-02,2.20
2010-04-09,2.15
2010-04-16,2.05
2010-04-23,2.02
2010-04-30,1.93
2010-05-07,1.82
2010-05-14,1.84
2010-05-21,1.81
2010-05-28,1.83
2010-06-04,1.82
2010-06-11,1.79
2010-06-18,1.79
2010-06-25,1.74
2010-07-02,1.74
2010-07-09,1.83
2010-07-16,1.85
2010-07-23,1.91
2010-07-30,1.91
2010-08-06,1.86
2010-08-13,1.82
2010-08-20,1.77
2010-08-27,1.66
2010-09-03,1.66
2010-09-10,1.70
2010-09-17,1.72
2010-09-24,1.63
2010-10-01,1.59
2010-10-08,1.49
2010-10-15,1.41
2010-10-22,1.38
2010-10-29,1.42
2010-11-05,1.43
2010-11-12,1.60
2010-11-19,1.75
2010-11-26,1.66
2010-12-03,1.70
2010-12-10,1.86
2010-12-17,1.95
2010-12-24,1.90
2010-12-31,1.92
2011-01-07,1.92
2011-01-14,1.91
2011-01-21,1.98
2011-01-28,2.05
2011-02-04,2.11
2011-02-11,2.20
2011-02-18,2.18
2011-02-25,2.03
2011-03-04,1.96
2011-03-11,1.91
2011-03-18,1.83
2011-03-25,1.87
2011-04-01,1.89
2011-04-08,1.87
2011-04-15,1.79
2011-04-22,1.73
2011-04-29,1.76
2011-05-06,1.70
2011-05-13,1.75
2011-05-20,1.81
2011-05-27,1.81
2011-06-03,1.78
2011-06-10,1.80
2011-06-17,1.81
2011-06-24,1.78
2011-07-01,1.75
2011-07-08,1.73
2011-07-15,1.59
2011-07-22,1.60
2011-07-29,1.55
2011-08-05,1.26
2011-08-12,1.03
2011-08-19,1.01
2011-08-26,1.09
2011-09-02,1.09
2011-09-09,1.00
2011-09-16,1.06
2011-09-23,0.98
2011-09-30,1.04
2011-10-07,0.89
2011-10-14,1.08
2011-10-21,1.04
2011-10-28,0.99
2011-11-04,0.77
2011-11-11,0.75
2011-11-18,0.82
2011-11-25,0.80
2011-12-02,0.79
2011-12-09,0.83
2011-12-16,0.76
2011-12-23,0.73
2011-12-30,0.78
2012-01-06,0.77
2012-01-13,0.73
2012-01-20,0.74
2012-01-27,0.78
2012-02-03,0.67
2012-02-10,0.72
2012-02-17,0.71
2012-02-24,0.77
2012-03-02,0.75
2012-03-09,0.84
2012-03-16,0.87
2012-03-23,0.91
2012-03-30,0.90
2012-04-06,0.91
2012-04-13,0.79
2012-04-20,0.75
2012-04-27,0.73
2012-05-04,0.77
2012-05-11,0.75
2012-05-18,0.66
2012-05-25,0.61
2012-06-01,0.52
2012-06-08,0.46
2012-06-15,0.53
2012-06-22,0.52
2012-06-29,0.51
2012-07-06,0.51
2012-07-13,0.40
2012-07-20,0.38
2012-07-27,0.34
2012-08-03,0.34
2012-08-10,0.41
2012-08-17,0.57
2012-08-24,0.55
2012-08-31,0.43
2012-09-07,0.43
2012-09-14,0.45
2012-09-21,0.44
2012-09-28,0.43
2012-10-05,0.37
2012-10-12,0.38
2012-10-19,0.45
2012-10-26,0.43
2012-11-02,0.38
2012-11-09,0.33
2012-11-16,0.29
2012-11-23,0.38
2012-11-30,0.37
2012-12-07,0.27
2012-12-14,0.29
2012-12-21,0.39
2012-12-28,0.35
2013-01-04,0.49
2013-01-11,0.46
2013-01-18,0.45
2013-01-25,0.46
2013-02-01,0.55
2013-02-08,0.54
2013-02-15,0.58
2013-02-22,0.61
2013-03-01,0.55
2013-03-08,0.59
2013-03-15,0.66
2013-03-22,0.64
2013-03-29,0.61
2013-04-05,0.52
2013-04-12,0.50
2013-04-19,0.48
2013-04-26,0.45
2013-05-03,0.47
2013-05-10,0.62
2013-05-17,0.73
2013-05-24,0.79
2013-05-31,0.93
2013-06-07,0.99
2013-06-14,1.16
2013-06-21,1.29
2013-06-28,1.38
2013-07-05,1.31
2013-07-12,1.41
2013-07-19,1.31
2013-07-26,1.34
2013-08-02,1.37
2013-08-09,1.29
2013-08-16,1.44
2013-08-23,1.59
2013-08-30,1.44
2013-09-06,1.60
2013-09-13,1.58
2013-09-20,1.50
2013-09-27,1.37
2013-10-04,1.38
2013-10-11,1.40
2013-10-18,1.42
2013-10-25,1.34
2013-11-01,1.34
2013-11-08,1.47
2013-11-15,1.53
2013-11-22,1.54
2013-11-29,1.51
2013-12-06,1.62
2013-12-13,1.60
2013-12-20,1.59
2013-12-27,1.61
2014-01-03,1.60
2014-01-10,1.48
2014-01-17,1.43
2014-01-24,1.40
2014-01-31,1.37
2014-02-07,1.37
2014-02-14,1.42
2014-02-21,1.45
2014-02-28,1.38
2014-03-07,1.34
2014-03-14,1.35
2014-03-21,1.35
2014-03-28,1.28
2014-04-04,1.32
2014-04-11,1.26
2014-04-18,1.19
2014-04-25,1.17
2014-05-02,1.14
2014-05-09,1.12
2014-05-16,1.09
2014-05-23,1.10
2014-05-30,1.01
2014-06-06,1.14
2014-06-13,1.15
2014-06-20,1.12
2014-06-27,1.03
2014-07-04,1.07
2014-07-11,1.01
2014-07-18,0.98
2014-07-25,0.92
2014-08-01,0.92
2014-08-08,0.93
2014-08-15,0.91
2014-08-22,0.91
2014-08-29,0.85
2014-09-05,0.93
2014-09-12,1.01
2014-09-19,1.13
2014-09-26,1.09
2014-10-03,1.05
2014-10-10,0.98
2014-10-17,0.89
2014-10-24,0.95
2014-10-31,0.97
2014-11-07,0.96
2014-11-14,1.00
2014-11-21,1.03
2014-11-28,0.96
2014-12-05,0.98
2014-12-12,0.89
2014-12-19,0.84
2014-12-26,0.89
2015-01-02,0.84
2015-01-09,0.70
2015-01-16,0.68
2015-01-23,0.66
2015-01-30,0.59
2015-02-06,0.62
2015-02-13,0.75
2015-02-20,0.84
2015-02-27,0.72
2015-03-06,0.77
2015-03-13,0.86
2015-03-20,0.72
2015-03-27,0.61
2015-04-03,0.64
2015-04-10,0.65
2015-04-17,0.63
2015-04-24,0.64
2015-05-01,0.72
2015-05-08,0.89
2015-05-15,1.00
2015-05-22,1.03
2015-05-29,0.96
2015-06-05,1.10
2015-06-12,1.18
2015-06-19,1.09
2015-06-26,1.16
2015-07-03,1.14
2015-07-10,1.09
2015-07-17,1.16
2015-07-24,1.10
2015-07-31,1.06
2015-08-07,1.06
2015-08-14,1.05
2015-08-21,1.05
2015-08-28,1.14
2015-09-04,1.19
2015-09-11,1.21
2015-09-18,1.25
2015-09-25,1.28
2015-10-02,1.25
2015-10-09,1.22
2015-10-16,1.22
2015-10-23,1.23
2015-10-30,1.20
2015-11-06,1.25
2015-11-13,1.32
2015-11-20,1.26
2015-11-27,1.20
2015-12-04,1.19
2015-12-11,1.22
2015-12-18,1.30
2015-12-25,1.28
2016-01-01,1.29
2016-01-08,1.26
2016-01-15,1.29
2016-01-22,1.29
2016-01-29,1.23
2016-02-05,1.13
2016-02-12,1.08
2016-02-19,1.15
2016-02-26,1.04
2016-03-04,1.01
2016-03-11,1.05
2016-03-18,1.04
2016-03-25,0.94
2016-04-01,0.86
2016-04-08,0.80
2016-04-15,0.87
2016-04-22,0.88
2016-04-29,0.89
2016-05-06,0.86
2016-05-13,0.83
2016-05-20,0.85
2016-05-27,0.89
2016-06-03,0.89
2016-06-10,0.80
2016-06-17,0.83
2016-06-24,0.88
2016-07-01,0.69
2016-07-08,0.55
2016-07-15,0.61
2016-07-22,0.66
2016-07-29,0.62
2016-08-05,0.65
2016-08-12,0.60
2016-08-19,0.63
2016-08-26,0.60
2016-09-02,0.58
2016-09-09,0.58
2016-09-16,0.72
2016-09-23,0.68
2016-09-30,0.58
2016-10-07,0.66
2016-10-14,0.72
2016-10-21,0.68
2016-10-28,0.69
2016-11-04,0.71
2016-11-11,0.79
2016-11-18,0.95
2016-11-25,0.93
2016-12-02,0.94
2016-12-09,0.96
2016-12-16,1.10
2016-12-23,1.09
2016-12-30,1.02
2017-01-06,0.93
2017-01-13,0.89
2017-01-20,0.92
2017-01-27,0.93
2017-02-03,0.96
2017-02-10,0.94
2017-02-17,0.93
2017-02-24,0.89
2017-03-03,0.93
2017-03-10,1.04
2017-03-17,1.04
2017-03-24,0.96
2017-03-31,0.93
2017-04-07,0.91
2017-04-14,0.90
2017-04-21,0.90
2017-04-28,0.93
2017-05-05,0.98
2017-05-12,1.04
2017-05-19,0.99
2017-05-26,0.96
2017-06-02,0.91
2017-06-09,0.93
2017-06-16,0.96
2017-06-23,0.91
2017-06-30,0.93
2017-07-07,1.02
2017-07-14,1.04
2017-07-21,0.97
2017-07-28,1.00
2017-08-04,0.98
2017-08-11,0.93
2017-08-18,0.94
2017-08-25,0.92
2017-09-01,0.90
2017-09-08,0.82
2017-09-15,0.85
2017-09-22,0.88
2017-09-29,0.90
2017-10-06,0.95
2017-10-13,0.92
2017-10-20,0.91
2017-10-27,0.98
2017-11-03,0.91
2017-11-10,0.87
2017-11-17,0.87
2017-11-24,0.84
2017-12-01,0.85
2017-12-08,0.79
2017-12-15,0.79
2017-12-22,0.84
2017-12-29,0.77
2018-01-05,0.76
2018-01-12,0.81
2018-01-19,0.80
2018-01-26,0.81
2018-02-02,0.84
2018-02-09,0.95
2018-02-16,1.01
2018-02-23,1.04
2018-03-02,0.99
2018-03-09,1.02
2018-03-16,0.99
2018-03-23,1.00
2018-03-30,0.95
2018-04-06,0.93
2018-04-13,0.90
2018-04-20,0.90
2018-04-27,0.99
2018-05-04,0.94
2018-05-11,0.95
2018-05-18,1.02
2018-05-25,1.02
2018-06-01,0.92
2018-06-08,0.95
2018-06-15,0.96
2018-06-22,0.93
2018-06-29,0.88
2018-07-06,0.83
2018-07-13,0.84
2018-07-20,0.88
2018-07-27,0.96
2018-08-03,0.96
2018-08-10,0.96
2018-08-17,0.93
2018-08-24,0.88
2018-08-31,0.90
2018-09-07,0.95
2018-09-14,0.98
2018-09-21,1.04
2018-09-28,1.04
2018-10-05,1.14
2018-10-12,1.20
2018-10-19,1.22
2018-10-26,1.25
2018-11-02,1.31
2018-11-09,1.32
2018-11-16,1.29
2018-11-23,1.28
2018-11-30,1.30
2018-12-07,1.18
2018-12-14,1.23
2018-12-21,1.17
2018-12-28,1.20
2019-01-04,1.18
